species,island,sex,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
Adelie,Dream,FEMALE,47.78295101978387,15.718311110150365,185.24972142671487,3446.3301398684603
Adelie,Biscoe,MALE,46.184923499783686,15.967014237617803,202.38002039831633,4508.884360208179
Gentoo,Dream,FEMALE,48.594448811472404,16.931174387662534,193.52220969045274,4260.192049353893
Gentoo,Biscoe,MALE,34.165982559939444,14.848701651455384,190.9601407541331,5211.941275744311
Adelie,Dream,MALE,38.87104097537479,19.167939339266013,214.6926460028076,2540.673384171615
Gentoo,Torgersen,MALE,38.27562362775357,17.6136464782209,203.65352120199455,3231.5100048611685
Gentoo,Dream,MALE,35.19054012314879,18.159808283499093,201.28354517532438,3464.986623154588
Adelie,Torgersen,MALE,48.55746829739347,14.793996574106078,207.65638573902686,4727.480398985283
Adelie,Torgersen,FEMALE,33.523948135155365,18.695573134513666,191.66688848290394,3857.981663675416
Adelie,Biscoe,MALE,41.54825987440701,19.483211148633224,236.55392846757442,3829.2169600218026
Adelie,Dream,MALE,41.370368311644924,18.91246732208751,231.11726325626478,5028.537777246086
Adelie,Dream,MALE,38.241088772446986,18.412341242283727,186.05078747110028,3869.6449290162354
Adelie,Dream,FEMALE,50.1390042571739,16.791030092520383,215.89015035424464,3733.969424625992
Gentoo,Biscoe,MALE,37.874764675087626,17.324280737952723,181.2961728975788,4473.835786283856
Adelie,Biscoe,MALE,39.243430679798465,13.35941733817827,185.1128044184805,4881.35893043974
Adelie,Torgersen,FEMALE,42.05567562114381,18.78184493521532,229.65097853961856,3908.360284562554
Adelie,Biscoe,MALE,45.06430386283801,16.242467757252776,174.50794575518336,5842.916728922176
Chinstrap,Dream,MALE,43.223246670487036,14.703750760718796,194.42353934615318,3038.849471096143
Adelie,Biscoe,MALE,46.98759829893999,18.910833473998473,182.91994054517724,3127.832610699614
Adelie,Biscoe,MALE,47.40370574156561,17.738351882320433,224.67004092827628,3312.4244236717577
Adelie,Dream,FEMALE,41.48142403950411,18.388677254003465,210.72842120970898,4171.800182473006
Gentoo,Torgersen,FEMALE,51.08439879489236,17.130469694191483,211.90485925839891,5521.453649349922
Adelie,Biscoe,FEMALE,45.12056356951315,19.041618912994185,193.65514582462635,4104.67154294415
Gentoo,Dream,MALE,41.31194110451813,17.709424757100983,170.5787266110977,4645.495211929994
Chinstrap,Biscoe,MALE,50.17836619916994,19.707253952813634,200.9425210585734,3374.3814999697406
Adelie,Biscoe,FEMALE,48.94429333134002,19.3856902271026,186.9644838096203,4214.764905702933
Adelie,Biscoe,MALE,52.95105995435267,21.078785345089713,188.1311565578241,3453.846418707506
Gentoo,Dream,MALE,36.49971818363294,14.48963632128086,197.39338059601764,3186.4856357180693
Adelie,Biscoe,MALE,39.34586801135613,17.238791948333372,219.45543157964485,4726.3429251771795
Gentoo,Dream,MALE,39.702840808045096,20.490616100819608,176.85979995930614,3870.6281649179095
Adelie,Dream,FEMALE,44.20217500730297,20.154220235252744,220.08182979372575,5217.156809752651
Gentoo,Biscoe,FEMALE,47.04457240885329,19.205170970911666,208.50033506387956,5327.457318170985
Gentoo,Dream,FEMALE,47.970761896441125,18.289780055506654,182.83196662557168,3941.5482920004247
Gentoo,Biscoe,FEMALE,38.31103458891204,18.26215337111898,200.31717744752297,3888.2951534067774
Gentoo,Biscoe,MALE,41.54804999270435,16.33615902181639,199.19358001572587,3943.457270097489
Adelie,Biscoe,MALE,50.591036975286016,13.001252407696912,197.43841403483094,4157.983179960023
Gentoo,Dream,FEMALE,43.81216908098616,14.69307307668694,194.47768783681386,4112.234694648794
Gentoo,Biscoe,FEMALE,37.133173545475316,17.573149557056865,183.5394024710418,4275.854117447034
